tarih,plaka,marka,model,uretim_tarihi,km,parca_fiyat,iscilik_fiyat
2019-06-05,2,MERCEDES,E200,2007,159726,3328,1519
2019-02-17,70,TOFAS,SAHIN,2013,55344,3840,490
2019-03-30,81,MERCEDES,A180,2000,155240,7835,1710
2018-03-26,53,TESLA,S600,2009,192353,9038,1161
2019-01-05,8,MERCEDES,S600,2016,45157,2275,891
2018-06-04,72,WOLKSWAGEN,E200,2016,40760,4564,354
2018-07-10,34,FİAT,500,2010,117123,1870,1922
2018-08-22,6,FORD,S350,2002,27130,1972,1704
2019-03-16,16,FORD,E200,2009,76700,9690,1768
2019-07-04,13,FORD,S350,2001,77891,8119,1280
2019-08-03,4,FİAT,EGEA,2007,146872,8549,1355
2019-12-19,30,TESLA,S600,2000,106146,241,1082
2019-03-14,23,WOLKSWAGEN,A180,2017,148986,1912,1824
2018-08-19,27,TOFAS,SAHIN,2003,192587,1197,817
2019-04-09,1,MERCEDES,S600,2006,137689,5890,1571
2018-05-11,77,MERCEDES,S600,2010,51734,5018,567
2019-04-14,2,MERCEDES,E200,2011,36634,6620,1793
2018-11-14,49,TOFAS,DOGAN,2011,173837,4604,284
2019-08-29,19,VOLVO,A180,2007,86149,4332,1309
2018-12-20,43,WOLKSWAGEN,E200,2014,150258,3243,1427
2018-10-17,4,SAAB,S600,2012,131145,9795,1746
2019-09-13,19,FORD,A180,2016,144791,7536,750
2018-01-06,3,AUDİ,A180,2011,84403,1626,1321
2018-11-17,17,AUDİ,E200,2013,5125,6322,1562
2018-10-28,44,TOFAS,DOGAN,2000,165675,584,288
2019-01-22,20,VOLVO,S350,2007,131401,468,1711
2019-10-25,33,FORD,S600,2008,134366,1377,1894
2019-01-22,18,FORD,A180,2007,66474,6489,500
2018-10-11,38,MERCEDES,A180,2007,139962,4463,1148
2018-06-22,65,SAAB,A180,2002,19377,8186,1247
2018-03-13,26,AUDİ,S350,2007,112970,5728,1985
2018-08-08,31,MERCEDES,S600,2004,51731,2571,644
2018-07-01,15,MERCEDES,E200,2005,15302,7136,1252
2019-10-14,55,MERCEDES,A180,2009,89613,6885,1765
2019-07-07,67,SAAB,E200,2007,172661,8844,496
2018-07-28,20,FİAT,DOBLO,2017,190527,8416,1090
2018-08-22,9,TOFAS,SAHIN,2014,139694,9156,819
2018-05-22,54,BMW,E200,2017,43768,3229,1324
2018-07-12,7,FORD,A180,2012,46592,6073,698
2018-08-31,31,WOLKSWAGEN,A180,2011,11155,9894,1914
2019-08-22,73,WOLKSWAGEN,A180,2005,177218,2253,699
2018-05-31,76,AUDİ,S350,2004,185450,5871,780
2018-07-01,62,SAAB,A180,2003,135278,644,1293
2019-01-23,16,TESLA,S600,2013,78966,6963,1743
2018-09-12,20,SAAB,S350,2013,87959,5881,1347
2019-07-07,46,WOLKSWAGEN,S600,2014,126723,1430,931
2018-12-29,10,FİAT,DOBLO,2002,12522,6279,1586
2019-07-05,51,BMW,A180,2016,147822,9207,1135
2018-01-12,44,MERCEDES,S600,2001,56347,9833,1927
2018-08-10,64,SAAB,A180,2014,121586,9744,1560
2019-04-10,52,TOFAS,KARTAL,2002,155417,75,374
2019-12-17,7,TOFAS,KARTAL,2006,88494,7488,311
2018-10-29,44,SAAB,S350,2014,179332,9177,568
2019-05-05,27,TOFAS,SAHIN,2015,104019,3385,1313
2019-08-07,21,SAAB,S600,2017,125596,1406,398
2019-07-13,33,SAAB,S350,2016,145022,9900,353
2018-10-21,13,AUDİ,A180,2007,172612,167,879
2018-12-03,60,MERCEDES,A180,2003,73166,567,267
2018-08-23,18,TOFAS,SAHIN,2000,194391,8456,821
2019-12-12,69,BMW,E200,2001,41172,6176,402
2018-11-20,68,TOFAS,KARTAL,2008,165715,6710,1365
2018-12-24,17,MERCEDES,E200,2012,85192,4426,304
2018-09-29,12,TESLA,S600,2001,127131,1889,809
2019-03-22,72,AUDİ,S600,2005,137392,8562,902
2018-03-06,34,MERCEDES,S350,2011,69563,425,266
2019-10-29,71,AUDİ,A180,2011,66831,4225,1508
2018-02-25,72,WOLKSWAGEN,A180,2010,21148,9501,468
2018-02-18,50,SAAB,E200,2002,9069,2930,761
2018-07-03,10,FİAT,EGEA,2001,39512,4873,927
2019-05-21,58,SAAB,S600,2005,56184,248,493
2018-11-21,62,TESLA,A180,2015,155183,9613,1099
2019-03-26,64,AUDİ,E200,2009,114188,6140,1042
2018-10-10,62,TESLA,S600,2010,56818,92,349
2019-06-29,27,VOLVO,E200,2006,34483,1661,1160
2018-08-09,34,FİAT,500,2012,37166,6042,1687
2019-04-24,10,MERCEDES,A180,2003,151216,3419,1091
2019-03-21,26,WOLKSWAGEN,S600,2012,159391,3487,1224
2018-10-08,30,TOFAS,KARTAL,2005,89629,2339,1860
2018-09-08,7,FİAT,DOBLO,2017,104514,3172,311
2018-08-26,26,MERCEDES,A180,2010,169012,5432,1245
2018-10-08,20,VOLVO,S600,2017,94404,3121,1096
2018-04-12,71,WOLKSWAGEN,S600,2007,44170,1846,1057
2018-04-05,15,FORD,S600,2005,182997,5714,1089
2018-07-04,13,TESLA,E200,2004,72339,433,414
2019-04-15,35,TESLA,S350,2009,85049,4038,859
2019-12-18,68,TESLA,S350,2007,149821,1102,673
2019-01-22,7,FORD,S600,2004,61123,4723,1561
2018-11-28,26,BMW,S600,2001,125237,147,1887
2019-07-19,45,TESLA,S350,2001,157362,5650,1680
2018-09-22,70,SAAB,A180,2003,160205,5135,1234
2019-04-03,56,BMW,E200,2003,191862,5066,1748
2018-12-14,1,FORD,S350,2007,161957,2473,922
2019-07-29,21,FORD,S600,2000,83482,6873,264
2019-07-09,68,FİAT,DOBLO,2001,36916,1205,686
2018-02-21,1,SAAB,S350,2002,139371,2582,810
2018-10-06,71,SAAB,E200,2001,43837,2773,1202
2019-01-16,52,TESLA,S350,2001,122030,7286,1362
2019-12-08,81,TOFAS,DOGAN,2000,176882,3563,1257
2018-12-31,48,FİAT,DOBLO,2011,77852,6505,1937
2018-01-29,45,TESLA,A180,2009,194433,881,293
2019-09-06,61,VOLVO,S350,2016,60597,7909,775
2018-05-26,72,TOFAS,DOGAN,2000,20358,9325,997
2018-09-17,61,FORD,A180,2005,191523,9969,1502
2019-03-12,81,FORD,S600,2004,70679,6948,655
2019-02-07,16,AUDİ,A180,2016,63924,5447,1061
2018-06-07,41,TOFAS,DOGAN,2017,129292,1799,1213
2019-03-07,35,SAAB,E200,2010,46669,1209,1817
2019-10-18,47,TOFAS,KARTAL,2007,196086,132,1277
2019-09-01,59,SAAB,S600,2000,118744,752,595
2018-03-25,14,TESLA,E200,2003,56473,694,1493
2018-12-17,25,BMW,S350,2003,32591,854,1182
2019-10-31,73,SAAB,S600,2001,62718,664,992
2018-09-02,73,FİAT,EGEA,2004,152171,4526,1862
2018-05-10,43,FİAT,EGEA,2015,180279,9774,1410
2019-04-05,38,BMW,S350,2008,172464,2128,1227
2018-06-19,9,TOFAS,KARTAL,2001,44352,4352,360
2018-08-16,51,WOLKSWAGEN,A180,2017,157359,9543,1751
2018-05-11,9,VOLVO,A180,2002,163218,7167,748
2018-10-04,35,FORD,S600,2017,4931,5356,1601
2018-08-23,75,FİAT,500,2011,107698,8370,1767
2019-09-03,77,VOLVO,E200,2012,55899,1562,1316
2018-08-11,26,FORD,A180,2007,89935,8665,1956
2018-07-09,35,SAAB,A180,2014,3781,7530,1152
2018-08-05,53,MERCEDES,E200,2002,77975,375,1984
2019-08-15,58,TOFAS,SAHIN,2013,141892,7692,821
2018-08-05,50,TOFAS,SAHIN,2004,142352,6569,724
2019-12-25,34,AUDİ,E200,2009,34238,6441,399
2019-05-30,23,FORD,S600,2005,120285,9822,478
2019-01-15,10,SAAB,S350,2000,172189,3008,851
2019-05-28,19,FİAT,DOBLO,2014,180099,5732,1529
2019-02-22,21,VOLVO,S600,2017,157877,8865,1083
2018-06-15,45,AUDİ,A180,2010,82450,6612,251
2018-11-23,8,WOLKSWAGEN,S350,2001,136314,3926,287
2018-11-28,13,TOFAS,DOGAN,2014,147284,2425,1955
2019-06-14,77,VOLVO,A180,2011,160627,2210,1006
2019-10-02,61,WOLKSWAGEN,E200,2015,60640,3985,1977
2018-10-30,61,BMW,A180,2016,95675,5926,1603
2019-11-17,37,FİAT,DOBLO,2007,167509,7398,1467
2019-09-07,2,MERCEDES,E200,2004,23535,429,737
2018-03-05,24,BMW,S350,2003,11675,5213,1594
2019-06-14,10,FORD,A180,2014,7151,1583,1442
2018-04-26,4,AUDİ,S600,2008,101526,4807,1913
2019-01-15,49,FİAT,DOBLO,2001,9580,3515,1233
2019-09-24,20,WOLKSWAGEN,S600,2006,45894,5377,1572
2018-04-13,27,BMW,A180,2003,18889,7710,1936
2018-05-13,68,BMW,S350,2008,128833,7008,1938
2018-10-10,55,WOLKSWAGEN,A180,2003,63574,3074,808
2019-08-21,7,WOLKSWAGEN,E200,2009,26325,9535,684
2018-07-15,73,WOLKSWAGEN,A180,2014,69822,7904,1018
2019-10-13,36,WOLKSWAGEN,E200,2008,194302,8919,483
2019-04-03,55,TESLA,S350,2005,174285,1390,1164
2018-06-30,41,BMW,S350,2014,8782,8956,1623
2019-05-10,55,SAAB,A180,2000,188530,5961,1688
2018-10-26,67,SAAB,S350,2004,46862,521,1034
2019-11-17,27,TESLA,A180,2014,101152,1937,1508
2018-12-12,77,TOFAS,SAHIN,2004,68885,8233,353
2019-11-23,18,TESLA,A180,2008,105717,7796,767
2019-02-22,23,WOLKSWAGEN,A180,2008,185087,6619,1306
2019-12-08,50,FORD,E200,2012,53006,6244,699
2018-04-16,42,TOFAS,KARTAL,2002,25124,3457,1456
2019-02-14,43,VOLVO,S600,2011,72750,629,1794
2018-01-18,52,WOLKSWAGEN,E200,2004,138436,1665,600
2019-02-07,12,AUDİ,A180,2000,53836,8875,959
2019-10-29,66,MERCEDES,S600,2016,163798,5666,1139
2019-03-05,55,MERCEDES,A180,2001,116129,8647,312
2018-11-21,16,FORD,S350,2001,155937,8065,1445
2018-11-26,20,BMW,S600,2003,191001,4773,324
2019-09-22,74,AUDİ,S600,2007,88568,574,438
2019-10-10,18,MERCEDES,S350,2013,193658,8790,372
2018-06-13,31,VOLVO,S600,2011,80134,1737,1953
2018-03-23,64,TESLA,S350,2010,89506,1295,1931
2019-12-15,2,SAAB,A180,2002,18407,9267,1135
2019-06-15,56,TOFAS,KARTAL,2003,38535,4355,669
2019-02-07,49,AUDİ,A180,2007,168016,4571,884
2018-06-10,78,BMW,S350,2013,165264,7890,520
2018-03-21,10,TOFAS,DOGAN,2000,54241,4753,1243
2019-07-17,15,TOFAS,SAHIN,2009,156060,9729,1466
2018-07-08,18,VOLVO,A180,2014,115317,9367,365
2018-04-12,60,FORD,A180,2015,47398,9257,703
2018-04-10,7,BMW,E200,2011,166281,1966,1527
2018-06-11,25,TESLA,E200,2017,127763,4455,1099
2019-02-21,7,AUDİ,S600,2016,141773,9809,696
2018-08-10,56,MERCEDES,E200,2010,23128,6862,901
2019-04-13,23,TESLA,E200,2008,33158,7834,532
2019-09-25,45,FORD,S600,2011,47981,4333,1647
2018-11-23,58,AUDİ,E200,2002,8846,8820,1906
2019-03-05,29,AUDİ,A180,2016,191542,7263,1605
2018-02-08,4,BMW,E200,2016,173020,9040,1629
2019-08-11,10,WOLKSWAGEN,S600,2012,34778,8990,1295
2019-09-01,54,MERCEDES,A180,2001,97729,609,898
2019-03-19,49,BMW,S600,2005,128738,4856,1101
2019-11-12,27,FORD,S600,2011,76335,5059,428
2019-05-25,41,MERCEDES,E200,2016,121634,5103,1615
2018-11-21,5,TOFAS,KARTAL,2005,73552,4205,1893
2018-04-25,50,SAAB,S600,2011,125293,7289,1453
2019-07-13,67,TESLA,A180,2012,148967,7002,345
2019-09-11,63,SAAB,E200,2008,181780,4183,348
